condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Number of Protein Molecules,Rate of Change of Protein Molecules per Second,Translation Rate aa_s,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
ThTr_40nM-RT,Rep1,89424,1490.4,24.84,490.6571233272553,15.656818138035568,227.5700310760984,273084037291.318,969117.8102567076,2.3311537972909404,3312,3312.0,0.0013923571883998,0.0014611266801737,-4.185383378001812e-09,-3.068707581989965e-09,1.0,-1.6592515522429042e-06,7.345075782975195e-09,-7.243420283805469e-08,13.694835390950647,7.42097232015439e-07,2.398989454963691e-07,-27.62769858171975,0.0002137113356872,0.0037887901352591,2.3624761908310744e-21,3.589457128534103e-15,1490.4,24.84
ThTr_40nM-RT,Rep1,89640,1494.0,24.9,491.09390807151794,15.670755894120743,227.7726147401271,273327137688.15256,899333.8380946337,2.327606760273942,3320,3320.0,0.0013935424883741,0.0014631925848948,9.855716574428811e-11,-1.0710130751021824e-08,1.0,-1.0909759757189783e-06,1.0589176116906843e-08,-3.5542962863687543e-09,16.350296027723918,-6.58413348613897e-08,2.0580015782814767e-06,-73.39786539925835,0.0002121931086969,0.0037907719274528,4.980716100597198e-21,3.589488139987822e-15,1494.0,24.9
ThTr_40nM-RT,Rep1,89856,1497.6,24.96,491.3606443405152,15.679267420920128,227.89632879244368,273475594550.93243,848931.4156463058,2.323272745731019,3328,3328.0,0.0013595752479489,0.0014664521440134,-2.518108572194405e-09,-8.537060006811377e-09,1.0,-5.127538088845856e-06,9.57597295019296e-09,1.2497408232271722e-06,13.178260884840604,-9.431046664505861e-08,-1.464360438196082e-06,-64.51976241125502,0.0002035012387274,0.0037925305626547,4.4285515317602505e-21,3.589513479986208e-15,1497.6,24.96
ThTr_40nM-RT,Rep1,90072,1501.2,25.02,491.5982594490051,15.686849694494896,228.0065362571933,273607843508.63196,841357.4465312505,2.318822156088801,3336,3336.0,0.0013500980553939,0.001477499739421,-1.13671298463662e-09,-2.0240396764382023e-09,1.0,-5.279770832313457e-06,6.9303080116430275e-09,2.3271828517548983e-06,13.96945992210872,2.695383575871088e-06,-3.990682093116739e-06,-22.486246806929604,0.0001947180661591,0.0037942069935099,2.533509715209012e-21,3.589538518592986e-15,1501.2,25.02
ThTr_40nM-RT,Rep1,90288,1504.8,25.08,491.8579668998718,15.69513693243356,228.1269902969994,273752388356.3993,876920.0708759471,2.31449681930798,3344,3344.0,0.0013434880831679,0.0014716536513502,-7.023331436847248e-10,8.948122336049361e-11,1.0,-2.694526503516243e-06,6.374035583209464e-09,2.342329588455404e-06,13.181766509136516,6.006895801167247e-07,-4.336523946055825e-06,0.5800164536143333,0.0001939520065663,0.0037958654396317,2.1600828498309642e-21,3.589564378859477e-15,1504.8,25.08
ThTr_40nM-RT,Rep1,90504,1508.4,25.14,492.3689758777618,15.711443176149071,228.36399965332956,274036799583.9954,933849.2983566428,2.311371835819457,3352,3352.0,0.0013964891757619,0.0014630837953105,-5.13514005994655e-09,-8.931940825032141e-09,1.0,-2.180460537637748e-06,1.0498070158807936e-08,-7.032486487765448e-07,14.26793750489126,-2.956491340261421e-07,1.4037419368116554e-06,-83.36590412798151,0.0002007500936076,0.0037977365163198,5.4693715146158026e-21,3.589597026312742e-15,1508.4,25.14
ThTr_40nM-RT,Rep1,90720,1512.0,25.2,492.69412422180176,15.72181862623119,228.51480561382544,274217766736.5905,980335.4220825807,2.307391308350756,3360,3360.0,0.0013943661945483,0.00146768280614,-1.1083907836127894e-09,-5.3723418636705285e-09,1.0,-1.8935484358208944e-06,7.063861935414228e-09,6.621432471197323e-07,9.681214632302888,1.4626946696341547e-06,7.899272383566301e-07,-51.51747521143977,0.0002095251809613,0.0037994439438578,2.2732225283685682e-21,3.5896212140436126e-15,1512.0,25.2
ThTr_40nM-RT,Rep1,90936,1515.6,25.26,493.142324924469,15.736120664370194,228.72268407514812,274467220890.1778,989185.1929714757,2.3040046022651763,3368,3368.0,0.0013942609922648,0.0014680893985972,-3.6135402970224707e-09,-1.0877449360005885e-08,1.0,-1.324069718803018e-06,1.110795853760482e-08,-7.299298028650245e-07,16.08576616223691,1.029446432676701e-06,1.2392461596399996e-06,-88.17090148913557,0.0002163160789947,0.0038011488401396,5.273766428579588e-21,3.5896438612935565e-15,1515.6,25.26
ThTr_40nM-RT,Rep1,91152,1519.2,25.32,493.5942335128784,15.750541020760338,228.9322822784933,274718738734.19196,946999.7824386898,2.3006512294386887,3376,3376.0,0.001394903683334,0.001466140410447,-2.9684087677096703e-09,-4.122845287456016e-09,1.0,-1.347911244596696e-06,7.277021613173099e-09,2.5131846452945045e-08,11.049858966552351,3.038575676590892e-06,7.578090853240193e-07,-45.01645910083225,0.0002210333828277,0.003802874793509,2.167811842154667e-21,3.5896654172774515e-15,1519.2,25.32
ThTr_40nM-RT,Rep1,91368,1522.8,25.38,493.98849964141846,15.76312201220846,229.11514552628572,274938174631.5429,859782.861583503,2.297045674463531,3384,3384.0,0.0013941853046376,0.0014649326599543,-4.772535563034715e-09,6.40347554022398e-10,1.0,-2.709414403969331e-06,8.014693894654571e-09,-1.2842807809550174e-08,12.4871244284346,2.416987009860211e-06,1.2345879638241954e-07,20.24577068313185,0.0002261544703518,0.0038046298612404,2.5118489645846192e-21,3.589686854790513e-15,1522.8,25.38
