condition,protein,DNA_nM,kDa,total_duration_h,mean_velocity,max_velocity,velocity_std,velocity_cv,velocity_range,max_continuous_motion_h,velocity_decay_rate,mean_protein_conc,max_protein_conc,final_protein_conc,protein_conc_at_max_vel,protein_conc_std,protein_conc_cv,mean_vorticity,max_vorticity,vorticity_at_max_vel,mean_divergence,max_divergence,divergence_at_max_vel,mean_shear,max_shear,shear_at_max_vel,mean_strain,max_strain,strain_at_max_vel,mean_correlation_length,max_correlation_length,correlation_length_at_max_vel,mean_distance_[m]_mean,max_distance_[m]_mean,distance_[m]_mean_at_max_vel,mean_power,max_power,power_at_max_vel,total_work,energy_efficiency,mean_energy_per_protein,mean_intensity,max_intensity,intensity_at_max_vel,intensity_std,intensity_cv,kmeans_cluster,hierarchical_cluster,behavioral_class
C_20nM,C,20.0,78.0,30.83333333333333,4.9243802813108626e-08,1.964160762225223e-07,5.086278101564623e-08,1.0328767907848626,1.964160762225223e-07,6.249999999999998,0.0,977.4767695615039,1636.336935374652,1521.8973862092375,977.4767695615039,598.6411683448853,0.6124351871947153,-0.001195161886644292,0.0514179668856057,0.0022668998232037,-0.0022964739939677634,0.0298793855269975,-0.0156217239911528,-1.2039210142597907e-06,3.519648251381279e-05,-4.324254912439677e-06,2.166419028510139e-07,4.317387200805372e-05,5.293209303243968e-06,0.0001220810939829915,0.0004307071338069,3.836047436218814e-05,0.0032871338801121392,0.0054776666221654,0.0029094133424351,4.368673133136864e-18,5.243437788325065e-17,5.243437788325065e-17,6.129248405791014e-15,inf,inf,444.60978482073585,616.6029727458954,444.60978482073585,156.27322504739018,0.351483998739251,0,0,Slow-Sustained
C_40nM,C,40.0,78.0,30.83333333333333,2.576525941146048e-08,1.2075527210855546e-07,2.2035000576176615e-08,0.8552213748088779,1.2075527210855546e-07,0.4166666666666661,0.0,1068.3914932781825,1938.5705757648968,1877.556413516361,1068.3914932781825,723.3153338693584,0.6770133779799996,-0.0029787547719778234,0.034991792193149,0.0001714228497306,-0.008162819971420869,0.0121586190740136,-0.0139364424857519,8.39402803075325e-07,3.4712924993151e-05,3.5187754900213333e-06,-1.9713073264200913e-07,4.456631233722746e-05,-2.8623154502240013e-06,0.0001149967120956956,0.0003712252676515,6.012748211292343e-05,0.001609582878907686,0.0028670697627558,0.001420978356153,5.32123590821207e-19,8.066704755128638e-18,8.066704755128638e-18,7.89671408778671e-16,inf,inf,465.497048920433,692.6543157100677,465.497048920433,188.81898861468454,0.4056287554402073,0,0,Slow-Sustained
C_80nM,C,80.0,78.0,30.83333333333333,3.348424193915095e-08,1.257843589899089e-07,2.9610733577081582e-08,0.8843184692934523,1.257843589899089e-07,3.333333333333334,0.0,1012.7046562678768,1876.5175725443207,1837.0599669088888,1012.7046562678768,691.3511213279457,0.6826779328494291,-6.441182360310777e-05,0.0407675848192026,0.0041465681012841,-0.008218954508793685,0.0206819928123374,-0.0175761961529053,9.402257080163557e-07,4.314971966048661e-05,3.479653187917855e-06,-4.793594214521018e-07,6.937738120868054e-05,-2.096568406941072e-06,0.00011052403443643183,0.0003691138719472,4.9718438461575445e-05,0.0020645370351386554,0.0037256872288828,0.0018207883930766,1.2109720258198035e-18,1.2801130277006977e-17,1.2801130277006977e-17,1.7970824863165895e-15,inf,inf,450.10459922144076,675.6000001430511,450.10459922144076,180.4748404937705,0.40096200040155816,0,0,Slow-Sustained
C_160nM,C,160.0,78.0,30.83333333333333,3.8475773144997837e-08,1.4504443316490264e-07,3.59738879126405e-08,0.9349750498078659,1.4504443316490264e-07,5.208333333333334,0.0,765.7484955293313,1509.450102505939,1482.2282725241332,765.7484955293313,547.5882545154714,0.7151019658705898,-0.0011581208178222742,0.0326477338781993,-0.0152661678166299,-0.0049890200710048325,0.028724203169126,0.0141084660487004,8.943650962383197e-08,3.9509367515e-05,4.008914033193833e-06,9.609419544722127e-07,5.6661537734665984e-05,4.6742142151255486e-06,0.00012239296339701427,0.0003326245783824,4.354091976483857e-05,0.0022045247972858916,0.0042815716438853,0.0017873587739264,2.1771709013777245e-18,2.2194068808694466e-17,2.2194068808694466e-17,3.230921617644545e-15,inf,inf,383.71879276013215,577.8595480918884,383.71879276013215,142.946036885161,0.372528110643042,0,0,Slow-Sustained
E_1p25nM,E,1.25,93.0,30.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.40600633537383,534.6506666432774,480.4262322679194,0.0,180.67862087262515,0.61370562075695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.1522649550598,325.86731004714966,186.2985861301422,47.16553467070133,0.17923286610797776,0,0,Slow-Sustained
E_2p5nM,E,2.5,93.0,30.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.108758613697,756.1797419732917,702.6088598178147,0.0,254.92497930361031,0.6010839769895223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.2699685384763,381.95596051216125,184.55783081054688,66.5472920465156,0.22537778689756555,0,0,Slow-Sustained
E_5nM,E,5.0,93.0,30.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.4341197083606,1031.5311213393525,891.8758766169957,0.0,339.6552250710379,0.5166376597881925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.06072612416824,455.71746611595154,186.43980264663696,88.66583227612026,0.2476279184145226,0,0,Slow-Sustained
E_10nM,E,10.0,93.0,30.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.5438049376388,1508.3776578182749,1375.1760910264031,0.0,512.128834503448,0.5244299660844729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.48382588520946,578.3172302246094,184.5604128837585,133.68947683448894,0.3041965800793949,0,0,Slow-Sustained
E_20nM,E,20.0,93.0,30.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1235.5238251433777,1985.791921094828,1899.690527883933,0.0,697.2709737587933,0.5643525115170301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.48659957815335,705.3415143489838,186.95734000206,182.0201976794965,0.3572619924257209,0,0,Slow-Sustained
E_40nM,E,40.0,93.0,30.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.7104486143264,2494.339887615812,2327.5746067095783,0.0,917.798607031128,0.584320686120606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.4050318826766,835.515331029892,184.3764531612396,239.58818044756697,0.4030722614993892,0,0,Slow-Sustained
