time (s),A-160.0nM,A-20.0nM,A-40.0nM,A-80.0nM,AcSu2-1.25nM,AcSu2-10.0nM,AcSu2-160.0nM,AcSu2-2.5nM,AcSu2-20.0nM,AcSu2-40.0nM,AcSu2-5.0nM,AcSu2-80.0nM,AdPa-1.25nM,AdPa-10.0nM,AdPa-160.0nM,AdPa-2.5nM,AdPa-20.0nM,AdPa-40.0nM,AdPa-5.0nM,AdPa-80.0nM,B-1.25nM,B-10.0nM,B-160.0nM,B-2.5nM,B-20.0nM,B-40.0nM,B-5.0nM,B-80.0nM,C-1.25nM,C-10.0nM,C-160.0nM,C-2.5nM,C-20.0nM,C-40.0nM,C-5.0nM,C-80.0nM,D-1.25nM,D-10.0nM,D-160.0nM,D-2.5nM,D-20.0nM,D-40.0nM,D-5.0nM,D-80.0nM,DiPu-1.25nM,DiPu-10.0nM,DiPu-160.0nM,DiPu-2.5nM,DiPu-20.0nM,DiPu-40.0nM,DiPu-5.0nM,DiPu-80.0nM,F-1.25nM,F-10.0nM,F-160.0nM,F-2.5nM,F-20.0nM,F-40.0nM,F-5.0nM,F-80.0nM,G-1.25nM,G-10.0nM,G-160.0nM,G-2.5nM,G-20.0nM,G-40.0nM,G-5.0nM,G-80.0nM,H-1.25nM,H-10.0nM,H-160.0nM,H-2.5nM,H-20.0nM,H-40.0nM,H-5.0nM,H-80.0nM,HeAl-1.25nM,HeAl-10.0nM,HeAl-160.0nM,HeAl-2.5nM,HeAl-20.0nM,HeAl-40.0nM,HeAl-5.0nM,HeAl-80.0nM,NaGr-1.25nM,NaGr-10.0nM,NaGr-160.0nM,NaGr-2.5nM,NaGr-20.0nM,NaGr-40.0nM,NaGr-5.0nM,NaGr-80.0nM,ThTr-1.25nM,ThTr-10.0nM,ThTr-160.0nM,ThTr-2.5nM,ThTr-20.0nM,ThTr-40.0nM,ThTr-5.0nM,ThTr-8.0nM,ThTr-80.0nM,ThTr-85.0nM,Unc-10.0nM,Unc-20.0nM,Unc-40.0nM,Unc-80.0nM
114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012193516726460362,0.00011442793575838874,0.000495062548835772,2.21205855935907e-06,0.0001408941923649882,8.503642995068365e-05,7.172832176494207e-05,0.000386632273941484,,,,,,,,,,,,,,
120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001219193564215917,0.00014672729883988557,5.702873777220534e-05,0.0,1.813819910427973e-05,0.0,0.00011612297975123039,7.755254984338026e-05,5.9429553472764686e-05,9.648737219176703e-05,0.0005475616017066813,3.279120192106416e-05,7.776721244274577e-05,0.00010692909616115785,6.307456089656178e-05,0.00043547038692371413,,,,,,,,,,,,,,
126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6062823546006774e-05,6.904327575576079e-05,0.0005022015093216581,4.719743396497932e-05,7.771199611407095e-05,5.239968780366719e-05,7.178524079978954e-05,0.0003658136504590553,,,,,,,,,,,,,,
132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.269388444556068e-05,8.738859690351025e-05,0.0005073327359886578,0.0001270291776395878,9.505831522714949e-05,8.984961542938691e-05,5.585058672401419e-05,0.00039757532325624865,,,,,,,,,,,,,,
138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0307311823740594e-05,9.641391258269297e-05,0.0005063528285874725,2.8676612459788727e-05,9.85990927089312e-05,5.553728878862169e-05,4.476572630961082e-05,0.00042882071121813924,,,,,,,,,,,,,,
144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013914417528720978,0.00013593311469317979,0.00046458945974412136,0.00010663854151533095,0.00011255143193650878,8.610560780395688e-05,0.00012816317994921394,0.0004131901118156876,,,,,,,,,,,,,,
150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00011397671862317654,6.779896241065424e-05,0.000548343022217121,4.0244676561035944e-05,9.345923088920896e-05,4.015589259642609e-05,8.908534360252171e-05,0.0004248318787697492,,,,,,,,,,,,,,
156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001239120091286813,7.431485405996704e-05,0.0004603652889785798,8.284687143714975e-05,0.00010710192083747501,9.651911549966252e-05,5.831987553700463e-05,0.00036711135580479767,,,,,,,,,,,,,,
160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82389770138599e-05,0.000295363939406371,1.0080750261221163e-05,0.00010115923305831052,0.00015489907224011592,0.00017069033413195136,0.0001308886044190123,0.0001649527008244765,,,,,,,,,,,,,,,,,,,,,,,,,9.050236000207617e-05,0.0,0.00011761199629742766,0.000442420225402793,1.615381668430955e-06,5.026437264385299e-05,4.987688536817031e-05,0.00012377834669428944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.488635522394507e-05,4.665889232759043e-05,0.0004262208005174892,0.0,0.00016717959725189477,7.712650843511911e-05,2.8159233027661602e-05,0.0003512837289740333,,,,,,,,,,,,,,
168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013738503656923217,2.9566398055801287e-05,0.000502752091524111,7.841399754383837e-05,8.888953239290275e-05,4.7022784960622596e-05,7.968737851571596e-05,0.0003147890195100255,,,,,,,,,,,,,,
174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010529899824653842,0.00010433015843546245,0.00037738147131656557,7.747592806570136e-05,9.323982503693903e-05,8.257091141564206e-05,7.449071928301694e-05,0.00025463982943644,,,,,,,,,,,,,,
180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.228922850626278e-05,1.3542108662330246e-05,5.600918164161902e-05,1.00564258873555e-05,3.4188150712180303e-05,3.431305637198083e-05,2.774997543736891e-05,9.352381210182241e-05,1.9611891294943577e-05,0.00018223699278419723,0.00034661186810749076,8.690721754470548e-05,3.5630707704293615e-05,1.2151970695897097e-05,8.179545037679868e-05,0.00037564799481301647,,,,,,,,,,,0.0,3.6767142451306646e-05,0.00011607274991919854,
186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0701380000394626e-05,1.1408496208688207e-05,0.00038744872155029085,9.822182167024414e-07,0.00010656970353729062,7.066814393000014e-05,0.0,0.00022886085801341948,,,,,,,,,,,,,,
192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010151449053862111,9.366452860463676e-05,0.00038541082550781,9.559369469593683e-05,9.40353536842212e-05,5.947589140497842e-05,5.193265982544262e-05,0.0006650112328085544,,,,,,,,,,,,,,
198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.821403787063349e-05,8.159513915801383e-05,5.5640180890074135e-05,4.167859840042767e-05,8.841240979952344e-05,3.469057065437851e-05,2.2869897930534144e-05,0.00011918517517720058,,,,,,,,,,,,,,
