condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
D-1,Rep1,160,2.6666666666666665,0.0444444444444444,129.4864422001533,0.0674242439017289,2.497194218582564,8.0,8.0,0.0013907620268069,0.0013805052635886,9.196223821455511e-10,8.27260057272996e-10,1.0,4.3104494538420834e-07,7.585140891708524e-09,-8.307463784427383e-07,21.131837451471107,-1.1398332091981157e-06,3.311729050991205e-07,10.454980992138758,0.0002126847012365,1.6100123855556737e-06,2.543810741428704e-21,4.099392155897869e-20,2.6666666666666665,0.0444444444444444
D-2,Rep1,160,2.6666666666666665,0.0444444444444444,129.8756738330124,0.070967181972783,2.62841414714012,8.0,8.0,0.0013998695339575,0.0013773925980006,3.7978275086897705e-09,-2.116957907221708e-08,1.0,7.601195658607486e-07,2.3733737723609253e-08,-1.256180018818776e-06,19.469208505057143,-6.9645615043937385e-06,-3.921254606947624e-07,-76.54502280626251,0.0003300569102226,5.662187673076678e-06,1.0341525654213243e-20,2.583320538436546e-19,2.6666666666666665,0.0444444444444444
D-3,Rep1,160,2.6666666666666665,0.0444444444444444,128.60343825016028,0.0787356757977173,2.9161361406561923,8.0,8.0,0.0013621041076232,0.0014253589013824,3.75743318990132e-10,1.1250422286430974e-09,1.0,1.5610749658127986e-07,5.206311510696584e-09,-7.9693862577644e-07,19.4974892501596,7.1777112788752e-08,1.935953775943199e-07,20.69815148605716,0.0002318242419158,1.1128057520803608e-06,1.0087245687294369e-21,2.076758610807484e-20,2.6666666666666665,0.0444444444444444
AdPa-1,Rep1,180,3.0,0.05,129.18679175710955,0.0553802448603431,2.0511201800127026,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,180,3.0,0.05,129.73470881038267,0.0587247830556654,2.174991965024617,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,180,3.0,0.05,130.73601053510038,0.0980484083675756,3.631422532132433,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,180,3.0,0.05,129.42230905633184,0.0627511823140105,2.324117863481888,9.0,9.0,0.0013914260842852,0.0013800952249655,-4.086474643029581e-09,-2.6002544727494547e-09,1.0,1.2982890262045696e-06,8.250005001853701e-09,-1.1211898249416977e-06,21.58818094036895,-1.0114839257299764e-06,-6.402327882433096e-08,-32.2592756979572,0.0002111824215071,1.7750124855927475e-06,3.052269581780556e-21,4.4046191140759245e-20,3.0,0.05
D-2,Rep1,180,3.0,0.05,129.67211953617385,0.0561351979331536,2.0790814049316,9.0,9.0,0.0014002388833514,0.0013769474794696,5.2042032717333294e-09,-5.304041161965668e-09,1.0,-1.0586788603797609e-07,1.1877507321502451e-08,-1.6193226577881398e-06,20.12146070413079,-6.679518194105904e-06,-6.421137342530782e-07,-41.11666499125123,0.0003222325442925,5.899737819506727e-06,2.717326401451704e-21,2.610493802451063e-19,3.0,0.05
D-3,Rep1,180,3.0,0.05,128.49549425737413,0.0708703366570357,2.624827283593902,9.0,9.0,0.001363472507737,0.0014236106977307,3.8339491130935884e-09,-8.375373802174126e-09,1.0,-1.1502637407213189e-06,1.0189140519173341e-08,-8.280034397902164e-07,22.548471734513427,2.740391435895686e-07,1.6636751286487625e-07,-65.60505670736147,0.0002319264770782,1.3165885624638274e-06,3.8601522714941775e-21,2.462773837956901e-20,3.0,0.05
AdPa-1,Rep1,200,3.333333333333333,0.0555555555555555,129.0208649310461,0.043289986515802,1.6033328339185855,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,200,3.333333333333333,0.0555555555555555,129.63275168990515,0.0512956773716481,1.8998399026536104,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,200,3.333333333333333,0.0555555555555555,130.34865964289074,0.0698240852252016,2.5860772305630637,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,200,3.333333333333333,0.0555555555555555,129.50394909902812,0.0686998841054862,2.5444401520550457,10.0,10.0,0.0013921943629498,0.0013800982141095,-3.8009793328305235e-09,9.583350745835835e-10,1.0,9.213936967632015e-07,8.346605835961131e-09,-8.654263784297419e-07,20.097281268679875,-1.3727318484618243e-06,-9.79229881073709e-08,24.325499530209303,0.0002098417694695,1.94194460231197e-06,3.1642145665837088e-21,4.721040570734295e-20,3.333333333333333,0.0555555555555555
D-2,Rep1,200,3.333333333333333,0.0555555555555555,129.7578755227375,0.0623838079785779,2.310511406613984,10.0,10.0,0.0014002558543108,0.0013761268424549,-1.815112572787611e-09,8.8749825380097e-09,1.0,-6.05466499424403e-07,1.3975557549311452e-08,-2.296016720500477e-06,17.933257452119292,-6.716002855820258e-06,-2.2949961146001298e-07,73.26490358585771,0.000314612858643,6.179248970492955e-06,3.946529412167623e-21,2.6499590965727395e-19,3.333333333333333,0.0555555555555555
D-3,Rep1,200,3.333333333333333,0.0555555555555555,128.63858764529974,0.0812968365091739,3.010993944784218,10.0,10.0,0.001363384906649,0.0014243553076244,-6.143087632507856e-09,6.363935459020035e-09,1.0,9.82212798869594e-08,9.885218399817124e-09,-6.248561201018246e-07,18.48217166283933,-1.3353889156502872e-06,5.408140715115891e-08,105.10361047958992,0.0002323163126892,1.51429293046017e-06,3.621121703852469e-21,2.824886008342148e-20,3.333333333333333,0.0555555555555555
AdPa-1,Rep1,220,3.6666666666666665,0.0611111111111111,129.07207588951488,0.0470214730550688,1.7415360390766352,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,220,3.6666666666666665,0.0611111111111111,129.7418559319452,0.0592455580753581,2.194279928716952,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,220,3.6666666666666665,0.0611111111111111,130.36575100626098,0.0710694474340085,2.6322017568151352,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,220,3.6666666666666665,0.0611111111111111,129.4721069222323,0.0663797038618962,2.4585075504406007,11.0,11.0,0.0013914260842852,0.0013800952249655,9.0110761369076e-10,-1.0563757048436335e-09,1.0,1.2222785567721432e-06,7.011417546148748e-09,-5.296700333835322e-07,21.05635628425896,-7.737597880894995e-08,1.1954887320320505e-07,-4.859075037024211,0.0002086710479273,2.082172953234945e-06,2.2579653018165546e-21,4.946837100915951e-20,3.6666666666666665,0.0611111111111111
D-2,Rep1,220,3.6666666666666665,0.0611111111111111,129.46627176835838,0.041136100128531,1.5235592640196671,11.0,11.0,0.0014002388833514,0.0013769474794696,-2.029656753857683e-09,-1.5259855119331404e-08,1.0,2.931137515393041e-07,1.784580017347173e-08,-1.1913468988632704e-06,16.196775651714102,-5.987652159801294e-06,-4.514319409445981e-07,-89.87154779664685,0.0003072989832751,6.536164973962391e-06,6.744966551992533e-21,2.7174087620926647e-19,3.6666666666666665,0.0611111111111111
D-3,Rep1,220,3.6666666666666665,0.0611111111111111,128.45703354170624,0.0680678965720131,2.521033206370845,11.0,11.0,0.0013621041076232,0.0014253589013824,6.300376007439396e-09,-6.710248071990302e-09,1.0,-1.5769928694078643e-06,1.033154405480184e-08,-3.603413200177604e-07,23.9062701688096,6.361478128268561e-07,-1.6980657543808277e-07,-47.6040591883492,0.0002329542435684,1.720923811556207e-06,3.933862783515718e-21,3.21827228669372e-20,3.6666666666666665,0.0611111111111111
AdPa-1,Rep1,240,4.0,0.0666666666666666,129.0415862399834,0.0447998447119264,1.6592535078491435,3.0,3.0,0.0013911882658292,0.0014293713247861,-4.2015645201935527e-10,-1.384651090124457e-09,1.0,-1.378260415225815e-07,5.117528148721087e-09,-5.825896978196601e-07,19.48017088780073,1.656235112936187e-07,-2.505100697159238e-07,-15.052128182330373,0.0002691685061095,1.4799718794355282e-06,7.229395553235629e-22,7.43364504554924e-21,4.0,0.0666666666666666
AdPa-2,Rep1,240,4.0,0.0666666666666666,129.57015344504407,0.0467344561981901,1.730905785118125,3.0,3.0,0.0015003390721676,0.0013439486391208,3.226140189982191e-10,-2.5271502096008907e-10,1.0,-2.92976951006264e-07,2.556908358482726e-09,-1.2824260492216915e-06,22.304751371056103,-2.6795063596336e-07,-1.5186102984352465e-07,-3.561007378041419,0.0002558788331534,6.61295446044787e-07,1.99706223072958e-22,1.1681573590723781e-21,4.0,0.0666666666666666
